Humber Loop at the Queensway,15155
Opposite 2111 Lake Shore Blvd West,5200
2155 Lake Shore Blvd West,15746
Lake Shore Blvd West at Park Lawn Rd West Side,5196
Lake Shore Blvd West at Legion Rd,5186
Lake Shore Blvd West at Louisa St,5190
Lake Shore Blvd West at Burlington St,5174
Lake Shore Blvd West at Superior Ave,5202
Lake Shore Blvd West at Mimico Ave,5193
Lake Shore Blvd West at Hillside Ave,5179
Lake Shore Blvd West at Symons St,5203
Lake Shore Blvd West at Royal York Rd,5198
Lake Shore Blvd West at First St,13947
Lake Shore Blvd West at Third St,5168
Lake Shore Blvd West at Fifth St,5171
Lake Shore Blvd West at Islington Ave,5180
Lake Shore Blvd West at Tenth St,5151
Lake Shore Blvd West at Thirteenth St,5153
Lake Shore Blvd West at Fifteenth St,5155
Lake Shore Blvd West at Kipling Ave,5181
Lake Shore Blvd West at Twenty Second St,5156
Lake Shore Blvd West at Twenty Sixth St,5158
Lake Shore Blvd West at Twenty Ninth St,5161
Lake Shore Blvd West at Thirtieth St,5162
Lake Shore Blvd West at Long Branch Ave,5188
Lake Shore Blvd West at Thirty Seventh St,5165
Long Branch Loop,5511
